client,Recency,Frequency,Monetary,total_quantity,avg_check,total_unique_items,avg_items_per_visit,weekend_visits,amount_last_visit,relative_value_pct,event
client10200,216.0,1.0,1214.0,6.0,1214.0,2.0,6.0,0.0,995.0,0.031229830198731306,False
client10201,104.0,2.0,2521.0,20.0,1260.5,13.0,10.0,4.0,351.0,0.06485206089868338,False
client10202,13.0,4.0,2126.0,12.0,531.5,7.0,3.0,0.0,675.0,0.05469078995263819,False
client10203,98.0,11.0,26040.0,83.0,2367.2727272727275,29.0,7.545454545454546,23.0,55.0,0.6698721403418149,True
client10204,11.0,18.0,36085.0,341.0,2004.7222222222222,88.0,18.944444444444443,15.0,24.0,0.9282771192102299,False
client10205,84.0,6.0,19283.0,78.0,3213.8333333333335,25.0,13.0,9.0,890.0,0.49605009532301136,True
client10206,34.0,20.0,102294.0,108.0,5114.7,65.0,5.4,4.0,12990.0,2.6314862029234107,False
client10207,3.0,1.0,218.0,2.0,218.0,1.0,2.0,0.0,218.0,0.005607992572754057,True
client10208,2.0,3.0,26474.0,41.0,8824.666666666666,12.0,13.666666666666666,1.0,99.0,0.6810366760141785,False
client10209,18.0,1.0,1134.0,10.0,1134.0,4.0,10.0,0.0,99.0,0.02917185127295,False
client1021,43.0,6.0,11551.0,11.0,1925.1666666666667,8.0,1.8333333333333333,3.0,109.0,0.2971464321462482,True
client10210,87.0,6.0,12085.0,25.0,2014.1666666666667,24.0,4.166666666666667,0.0,3370.0,0.3108834414758384,False
client10211,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
client10212,546.0,4.0,10277.0,40.0,2569.25,17.0,10.0,11.0,495.0,0.26437311775318095,False
client10213,104.0,2.0,3498.0,17.0,1749.0,10.0,8.5,1.0,128.0,0.08998512852978757,False
client10214,140.0,6.0,4071.0,34.0,678.5,33.0,5.666666666666667,20.0,22.0,0.10472540258569618,False
client10215,414.0,1.0,7548.0,2.0,7548.0,2.0,2.0,2.0,7199.0,0.19417031164746615,False
client10216,81.0,3.0,5556.0,16.0,1852.0,8.0,5.333333333333333,4.0,69.0,0.14292663639551165,False
client10217,60.0,5.0,5664.0,67.0,1132.8,40.0,13.4,0.0,35.0,0.1457049079453164,False
client10218,162.0,1.0,2275.0,39.0,2275.0,28.0,39.0,28.0,28.0,0.058523775701905874,True
client10219,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
client1022,233.0,3.0,13194.0,14.0,4398.0,10.0,4.666666666666667,5.0,163.0,0.33941217433448173,False
client10220,2.0,13.0,22316.0,49.0,1716.6153846153845,23.0,3.769230769230769,0.0,327.0,0.574073221346695,False
client10221,547.0,2.0,4533.0,8.0,2266.5,5.0,4.0,1.0,1790.0,0.1166102308820832,False
